# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cpu-clock:u'
# Event count (approx.): 9980980971
#
# Overhead  Command  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  .......  ................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.32%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_local_get
     0.32%  current  libc.so.6         [.] 0x00000000000a9ce6
     0.30%  current  libc.so.6         [.] 0x00000000000ab2dc
     0.29%  current  libc.so.6         [.] 0x00000000000ac28c
     0.28%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::eliminate_dead_params::eliminate_dead_params::{closure#8}
     0.28%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::helpers::inst_defines
     0.27%  current  current           [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_terminator_dispatch
     0.24%  current  current           [.] <sf_nano_core::utils::payload::Payload>::read_leb128_u32
     0.24%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::bind_cached_cell_to_regs
     0.24%  current  current           [.] <sf_nano_core::vm::jit::wasm::sir::primitive_op::PrimitiveOpKind as core::cmp::PartialEq>::eq
     0.24%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::relax_index_extends::relax_index_extends_locally_with_policy
     0.23%  current  libc.so.6         [.] 0x00000000000abe04
     0.22%  current  current           [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_int_binary
     0.22%  current  current           [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::materialize_value
     0.22%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::dynamic_reg_available
     0.22%  current  libc.so.6         [.] 0x00000000000a9cbd
     0.21%  current  current           [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend as sf_nano_core::vm::jit::arch::common::backend::ArchBackend>::lower_inst
     0.21%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_terminator
     0.21%  current  libc.so.6         [.] 0x00000000000a9be1
     0.20%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_int_binary
     0.20%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::set_linear_value_reg
     0.20%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::reuse_loaded_values::reuse_loaded_values
     0.20%  current  libc.so.6         [.] 0x00000000000abdf4
     0.19%  current  current           [.] sf_nano_core::vm::jit::build::finish_native_compile_streaming
     0.18%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::apply_sink_premap
     0.18%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::is_linear_value_reg
     0.18%  current  current           [.] sf_nano_core::vm::jit::wasm::sir::primitive_op::result_type
     0.18%  current  libc.so.6         [.] 0x00000000000ab264
     0.17%  current  current           [.] sf_nano_core::vm::jit::arch::x86_64::enc::emit_modrm_mem
     0.17%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_local_tee
     0.17%  current  libc.so.6         [.] 0x00000000000ab300
     0.16%  current  current           [.] <sf_nano_core::vm::jit::middle::discipline::Window>::fill::<sf_nano_core::vm::jit::middle::rewrite::state::EmitDriver>
     0.16%  current  current           [.] sf_nano_core::vm::jit::middle::cleanup::all_incoming_edge_locations
     0.16%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::target_expects_canonical_payload
     0.16%  current  libc.so.6         [.] 0x00000000001896ca
     0.15%  current  current           [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     0.15%  current  current           [.] <sf_nano_core::utils::payload::Payload>::read_leb128_i32
     0.15%  current  current           [.] <sf_nano_core::vm::jit::instantiate::TableMutationScan as sf_nano_core::op_decoder::OpcodeHandler>::on_stream
     0.15%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::emit_effective_addr
     0.15%  current  current           [.] sf_nano_core::vm::jit::middle::cleanup::remove_blocks
     0.15%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_block_terminator
     0.15%  current  libc.so.6         [.] 0x00000000000aba5a
     0.14%  current  current           [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::handle_end
     0.14%  current  current           [.] sf_nano_core::vm::jit::arch::x86_64::enc::emit_modrm_mem_idx_scaled
     0.14%  current  current           [.] sf_nano_core::vm::jit::machine::lower_cache_layout::choose_hole_start
     0.14%  current  current           [.] sf_nano_core::vm::jit::middle::cfg::build_semantic_to_block_map
     0.14%  current  libc.so.6         [.] 0x00000000000ab2e2
     0.14%  current  libc.so.6         [.] 0x00000000000abcbb
     0.14%  current  libc.so.6         [.] 0x00000000000abcef
     0.13%  current  current           [.] <sf_nano_core::vm::jit::build::StreamingCompiledModule as sf_nano_core::vm::jit::runtime::code::CodegenModuleView>::backend
     0.13%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::materialize_cache_aliases
     0.13%  current  current           [.] core::ptr::drop_glue::<sf_nano_core::vm::jit::wasm::sir::semantic_ir::SemanticProgram>
     0.13%  current  current           [.] sf_nano_core::op_decoder::decode_mem_arg
     0.13%  current  current           [.] sf_nano_core::vm::jit::machine::lower_cache_layout::incoming_edge_layout_cost
     0.12%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::analyze_loop_graph::{closure#2}
     0.12%  current  libc.so.6         [.] 0x00000000000ab349
     0.12%  current  libc.so.6         [.] 0x00000000000ab8b5
     0.12%  current  libc.so.6         [.] 0x00000000000abdfe
     0.12%  current  libc.so.6         [.] 0x00000000000ad10f
     0.11%  current  current           [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_store
     0.11%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_leaf_special
     0.11%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_memory_store_scalar
     0.11%  current  current           [.] sf_nano_core::vm::jit::arch::common::pipeline::emit_parallel_moves::<sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>
     0.11%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::helpers::inst_uses_value
     0.11%  current  libc.so.6         [.] 0x00000000000a9d41
     0.11%  current  libc.so.6         [.] 0x00000000000a9d75
     0.11%  current  libc.so.6         [.] 0x00000000000ab451
     0.10%  current  current           [.] <alloc::collections::btree::map::BTreeMap<(u16, u32, u8), (usize, sf_nano_core::vm::jit::middle::ssa_ir::ir::SsaOperand, u64)>>::bulk_build_from_sorted_iter::<alloc::vec::Vec<((u16, u32, u8), (usize, sf_nano_core::vm::jit::middle::ssa_ir::ir::SsaOperand, u64))>>
     0.10%  current  current           [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_indexed_store
     0.10%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::ensure_cached_cell_loaded
     0.10%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_leaf
     0.10%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_memory_load_scalar
     0.10%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::push_value_location
