# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cpu-clock:u'
# Event count (approx.): 9865865856
#
# Overhead  Command  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  .......  ................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.32%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::relax_index_extends::advance_clean_state
     0.31%  main     main              [.] <sf_nano_core::vm::jit::middle::rewrite::function::ProgramBuilder>::intern_primitive
     0.27%  main     libc.so.6         [.] 0x00000000000abe04
     0.27%  main     main              [.] <sf_nano_core::utils::payload::Payload>::read_leb128_u32
     0.27%  main     main              [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend as sf_nano_core::vm::jit::arch::common::backend::ArchBackend>::lower_terminator
     0.25%  main     libc.so.6         [.] 0x00000000000a9be1
     0.25%  main     libc.so.6         [.] 0x00000000000ac28c
     0.24%  main     libc.so.6         [.] 0x00000000000ab8b5
     0.24%  main     main              [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_int_binary
     0.24%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::bind_cached_cell_to_regs
     0.24%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_int_binary
     0.24%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_leaf_special
     0.24%  main     main              [.] <sf_nano_core::vm::jit::wasm::sir::primitive_op::PrimitiveOpKind as core::cmp::PartialEq>::eq
     0.23%  main     libc.so.6         [.] 0x00000000000ab264
     0.23%  main     main              [.] <sf_nano_core::vm::jit::instantiate::TableMutationScan as sf_nano_core::op_decoder::OpcodeHandler>::on_stream
     0.22%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::is_linear_value_reg
     0.22%  main     main              [.] sf_nano_core::vm::jit::wasm::sir::primitive_op::result_type
     0.21%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::target_expects_canonical_payload
     0.20%  main     main              [.] <sf_nano_core::vm::jit::arch::common::core::CompilerCore>::extend_block_trace
     0.20%  main     main              [.] sf_nano_core::vm::jit::arch::x86_64::enc::emit_modrm_mem
     0.20%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::relax_index_extends::relax_index_extends_locally_with_policy
     0.19%  main     libc.so.6         [.] 0x00000000000ab2ef
     0.19%  main     libc.so.6         [.] 0x00000000000aba45
     0.19%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::helpers::inst_uses_value
     0.18%  main     libc.so.6         [.] 0x00000000000abcef
     0.18%  main     main              [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_store
     0.18%  main     main              [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::materialize_value
     0.18%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::forward_stored_values::forward_stored_values
     0.18%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_block_terminator
     0.17%  main     main              [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend as sf_nano_core::vm::jit::arch::common::backend::ArchBackend>::lower_inst
     0.16%  main     libc.so.6         [.] 0x00000000000ab2e2
     0.16%  main     libc.so.6         [.] 0x00000000000ab300
     0.16%  main     libc.so.6         [.] 0x00000000000ab8e0
     0.16%  main     libc.so.6         [.] 0x00000000000abdf4
     0.16%  main     main              [.] <alloc::raw_vec::RawVec<alloc::rc::Rc<sf_nano_core::module::type_defs::DefType>>>::grow_one
     0.16%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::emit_effective_addr
     0.16%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::analyze_loop_graph::{closure#2}
     0.15%  main     libc.so.6         [.] 0x0000000000188c11
     0.15%  main     libc.so.6         [.] 0x00000000001896ca
     0.15%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::apply_sink_premap
     0.15%  main     main              [.] <sf_nano_core::vm::jit::middle::discipline::Window>::fill::<sf_nano_core::vm::jit::middle::rewrite::state::EmitDriver>
     0.15%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::helpers::inst_defines
     0.14%  main     libc.so.6         [.] 0x00000000000a9cf8
     0.14%  main     libc.so.6         [.] 0x00000000000a9d05
     0.14%  main     libc.so.6         [.] 0x00000000000ab251
     0.14%  main     main              [.] <sf_nano_core::utils::payload::Payload>::read_leb128_i32
     0.14%  main     main              [.] <sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>::lower_indexed_store
     0.14%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::set_linear_value_reg
     0.14%  main     main              [.] core::ptr::drop_glue::<sf_nano_core::vm::jit::wasm::sir::semantic_ir::SemanticProgram>
